6300,2.07,7.21,4.91,-0.07
6332,2.06,7.18,4.90,-0.06
6365,2.05,7.21,4.89,-0.05
6397,2.04,7.19,4.89,-0.04
6430,2.04,7.21,4.88,-0.04
6462,2.03,7.22,4.88,-0.03
6495,2.02,7.18,4.88,-0.02
6528,2.02,7.20,4.88,-0.02
6560,2.02,7.20,4.88,-0.02
6592,2.00,7.19,4.89,-0.00
6625,2.00,7.15,4.89,-0.00
6658,2.00,7.20,4.89,0.00
6690,1.98,7.21,4.90,0.02
6722,1.99,7.18,4.90,0.01
6755,1.99,7.20,4.90,0.01
6788,1.99,7.13,4.90,0.01
6820,1.99,7.14,4.91,0.01
6852,1.99,7.15,4.91,0.01
6885,1.99,7.17,4.91,0.01
6918,1.99,7.19,4.92,0.01
6949,1.99,7.15,4.92,0.01
6982,1.98,7.15,4.92,0.02
7015,1.98,7.16,4.93,0.02
7048,1.98,7.15,4.93,0.02
7079,1.98,7.18,4.94,0.02
7112,1.98,7.20,4.95,0.02
7145,1.98,7.14,4.95,0.02
7178,1.98,7.12,4.95,0.02
7209,1.98,7.14,4.96,0.02
7242,2.00,7.14,4.95,0.00
7275,2.00,7.12,4.95,0.00
7308,1.99,7.14,4.95,0.01
7340,1.99,7.16,4.95,0.01
7372,2.00,7.15,4.95,0.00
7405,2.00,7.15,4.95,-0.00
7437,2.00,7.17,4.95,0.00
7470,2.01,7.14,4.94,-0.01
7502,2.01,7.13,4.94,-0.01
7535,2.01,7.13,4.94,-0.01
7567,2.01,7.13,4.94,-0.01
7600,2.02,7.17,4.93,-0.02
7632,2.02,7.21,4.92,-0.02
7665,2.02,7.19,4.92,-0.02
7697,2.01,7.23,4.92,-0.01
7730,2.01,7.20,4.92,-0.01
7762,2.01,7.19,4.92,-0.01
7795,2.00,7.19,4.93,0.00
7827,2.01,7.14,4.92,-0.01
7860,2.01,7.14,4.92,-0.01
7892,2.00,7.13,4.92,-0.00
7925,2.00,7.15,4.92,-0.00
7957,2.01,7.14,4.92,-0.01
7990,2.00,7.14,4.92,-0.00
8023,2.00,7.14,4.92,-0.00
8055,2.00,7.15,4.92,-0.00
8087,2.00,7.14,4.92,0.00
8120,2.00,7.20,4.92,0.00
8153,2.00,7.20,4.92,0.00
8185,1.99,7.18,4.93,0.01
8217,1.99,7.20,4.93,0.01
8250,1.99,7.18,4.93,0.01
8283,1.99,7.14,4.94,0.01
8314,2.00,7.15,4.93,0.00
8347,2.00,7.14,4.93,-0.00
8380,2.01,7.15,4.92,-0.01
8413,2.00,7.19,4.93,-0.00
8444,2.01,7.17,4.92,-0.01
8477,2.00,7.12,4.93,0.00
8510,1.99,7.13,4.94,0.01
8543,1.99,7.12,4.94,0.01
8574,1.99,7.14,4.94,0.01
8607,2.00,7.14,4.94,0.00
8640,2.01,7.13,4.93,-0.01
8673,2.01,7.13,4.92,-0.01
8705,2.01,7.11,4.92,-0.01
8737,2.00,7.09,4.93,-0.00
8770,2.00,7.14,4.93,0.00
8802,1.99,7.12,4.94,0.01
8835,1.98,7.12,4.95,0.02
8867,1.93,7.09,5.00,0.07
8900,1.91,7.08,5.03,0.09
8932,1.82,7.00,5.14,0.18
8965,1.81,6.96,5.19,0.19
8997,1.78,6.89,5.25,0.22
9030,1.82,6.88,5.27,0.18
9062,1.82,6.90,5.31,0.18
9095,1.78,6.91,5.38,0.22
9127,1.78,6.83,5.43,0.22
9160,1.80,6.81,5.46,0.20
9192,1.86,6.83,5.45,0.14
9225,1.88,6.86,5.46,0.12
9257,1.93,6.84,5.44,0.07
9290,1.94,6.87,5.44,0.06
9322,1.99,6.90,5.41,0.01
9355,2.01,6.91,5.40,-0.01
9388,2.05,7.01,5.36,-0.05
9420,2.09,7.02,5.31,-0.09
9452,2.09,7.04,5.29,-0.09
9485,2.11,7.03,5.25,-0.11
9518,2.12,7.06,5.22,-0.12
9550,2.12,7.12,5.19,-0.12
9582,2.12,7.15,5.16,-0.12
9615,2.13,7.09,5.14,-0.13
9648,2.13,7.07,5.10,-0.13
9680,2.12,7.13,5.08,-0.12
9712,2.12,7.16,5.06,-0.12
9745,2.12,7.17,5.03,-0.12
9778,2.12,7.15,5.01,-0.12
9810,2.10,7.13,5.00,-0.10
9842,2.10,7.20,4.97,-0.10
9875,2.09,7.14,4.96,-0.09
9908,2.09,7.16,4.95,-0.09
9940,2.08,7.18,4.93,-0.08
9972,2.08,7.18,4.92,-0.08
10005,2.08,7.21,4.90,-0.08
10038,2.07,7.19,4.89,-0.07
10071,2.06,7.17,4.89,-0.06
10103,2.06,7.13,4.87,-0.06
10135,2.05,7.17,4.87,-0.05
10168,2.05,7.16,4.85,-0.05
10201,2.04,7.16,4.85,-0.04
10233,2.03,7.17,4.85,-0.03
10266,2.03,7.18,4.85,-0.03
