1592,1296.89,7.43,0.00,0.00,0.00
1625,1296.89,7.43,0.00,0.00,0.00
1657,1296.89,7.43,0.00,0.00,0.00
1690,1296.89,7.43,0.00,0.00,0.00
1723,1296.89,7.43,0.00,0.00,0.00
1756,1296.89,7.43,0.00,0.00,0.00
1789,1296.89,7.43,0.00,0.00,0.00
1822,1296.89,7.43,0.00,0.00,0.00
1855,1296.89,7.43,0.00,0.00,0.00
1888,1296.89,7.43,0.00,0.00,0.00
1921,1296.89,7.43,0.00,0.00,0.00
1953,1296.89,7.43,0.00,0.00,0.00
1986,1296.89,7.43,0.00,0.00,0.00
2019,1296.89,7.43,0.00,0.00,0.00
2052,1296.89,7.34,0.00,0.00,0.00
2084,1296.89,7.36,0.00,0.00,0.00
2118,1296.89,7.34,0.00,0.00,0.00
2151,1296.89,7.36,0.00,0.00,0.00
2184,1296.91,7.33,0.00,0.00,0.00
2216,1296.91,7.33,0.00,0.00,0.00
2249,1296.91,7.33,0.00,0.00,0.00
2282,1296.91,7.34,0.00,0.00,0.00
2315,1296.91,7.36,0.00,0.00,0.00
2348,0.07,7.35,0.00,0.00,0.00
2380,0.07,7.35,0.00,0.00,0.00
2413,0.07,7.34,0.00,0.00,0.00
2446,0.07,7.34,0.00,0.00,0.00
2479,0.07,7.34,0.00,0.00,0.00
2511,0.07,7.35,0.00,0.00,0.00
2544,0.07,7.36,0.00,0.00,0.00
2577,0.07,7.36,0.00,0.00,0.00
2610,0.07,7.35,0.00,0.00,0.00
2642,0.06,7.35,0.00,0.00,0.00
2675,0.06,7.36,0.00,0.00,0.00
2708,0.06,7.34,0.00,0.00,0.00
2741,0.06,7.35,0.00,0.00,0.00
2774,0.06,7.34,0.00,0.00,0.00
2806,0.06,7.35,0.00,0.00,0.00
2838,0.06,7.34,0.00,0.00,0.00
2871,0.06,7.35,0.00,0.00,0.00
2904,0.06,7.35,0.00,0.00,0.00
2936,0.06,7.36,0.00,0.00,0.00
2969,0.06,7.34,0.00,0.00,0.00
3002,0.06,7.35,0.00,0.00,0.00
3035,0.13,7.36,0.00,0.00,0.00
3067,0.13,7.36,0.00,0.00,0.00
3100,0.21,7.34,0.00,0.00,0.00
3133,0.21,7.35,0.00,0.00,0.00
3166,0.21,7.36,0.00,0.00,0.00
3198,0.22,7.36,0.00,0.00,0.00
3231,0.22,7.36,0.00,0.00,0.00
3264,0.22,7.37,0.00,0.00,0.00
3297,0.23,7.35,0.00,0.00,0.00
3330,0.23,7.36,0.00,0.00,0.00
3362,0.23,7.36,0.00,0.00,0.00
3395,0.23,7.35,0.00,0.00,0.00
3428,0.23,7.35,0.00,0.00,0.00
3461,0.23,7.34,0.00,0.00,0.00
3493,0.23,7.35,0.00,0.00,0.00
3526,0.23,7.34,0.00,0.00,0.00
3559,0.24,7.37,0.00,0.00,0.00
3592,0.24,7.35,0.00,0.00,0.00
3624,0.24,7.35,0.00,0.00,0.00
3657,0.24,7.35,0.00,0.00,0.00
3690,0.24,7.37,0.00,0.00,0.00
3723,0.24,7.36,0.00,0.00,0.00
3756,0.24,7.34,0.00,0.00,0.00
3788,0.24,7.35,0.00,0.00,0.00
3820,0.24,7.35,0.00,0.00,0.00
3853,0.24,7.36,0.00,0.00,0.00
3886,0.24,7.36,0.00,0.00,0.00
3918,0.24,7.35,0.00,0.00,0.00
3951,0.24,7.34,0.00,0.00,0.00
3984,0.24,7.36,0.00,0.00,0.00
4017,0.24,7.33,0.00,0.00,0.00
4049,0.25,7.35,0.00,0.00,0.00
4082,0.25,7.35,0.00,0.00,0.00
4115,0.25,7.35,0.00,0.00,0.00
4148,0.25,7.36,0.00,0.00,0.00
4180,0.25,7.35,0.00,0.00,0.00
4213,0.25,7.34,0.00,0.00,0.00
4246,0.25,7.36,0.00,0.00,0.00
4279,0.25,7.36,0.00,0.00,0.00
4312,0.25,7.36,0.00,0.00,0.00
4344,0.25,7.34,0.00,0.00,0.00
4377,0.25,7.35,0.00,0.00,0.00
4410,0.25,7.34,0.00,0.00,0.00
4443,0.25,7.36,0.00,0.00,0.00
4475,0.25,7.34,0.00,0.00,0.00
4508,0.25,7.36,0.00,0.00,0.00
4541,0.25,7.36,0.00,0.00,0.00
4574,0.25,7.36,0.00,0.00,0.00
