10:07:53.451:  0, 0 ,0
| Ac= 380 | AcZ = 15492 
AcX = -372 | AcY = 400 | AcZ = 15592 
AcX = -304 | AcY = 412 | AcZ = 15580 
AcX = -272 | AcY = 336 | AcZ = 15524 
AcX = -356 | AcY = 444 | AcZ = 15400 
AcX = -368 | AcY = 408 | AcZ = 15344 
AcX = -348 | AcY = 352 | AcZ = 15516 
AcX = -368 | AcY = 436 | AcZ = 15492 
AcX = -296 | AcY = 300 | AcZ = 15440 
AcX = -264 | AcY = 352 | AcZ = 15376 
AcX = -356 | AcY = 352 | AcZ = 15488 
AcX = -332 | AcY = 352 | AcZ = 15272 
AcX = -248 | AcY = 292 | AcZ = 15504 
AcX = -320 | AcY = 332 | AcZ = 15524 
AcX = -364 | AcY = 340 | AcZ = 15520 
AcX = -376 | AcY = 336 | AcZ = 15444 
AcX = -348 | AcY = 440 | AcZ = 15440 
AcX = -360 | AcY = 508 | AcZ = 15280 
AcX = -272 | AcY = 420 | AcZ = 15636 
AcX = -344 | AcY = 340 | AcZ = 15416 
AcX = -300 | AcY = 480 | AcZ = 15580 
AcX = -416 | AcY = 436 | AcZ = 15464 
AcX = -408 | AcY = 440 | AcZ = 15448 
AcX = -300 | AcY = 372 | AcZ = 15460 
AcX = -336 | AcY = 260 | AcZ = 15512 
AcX = -388 | AcY = 320 | AcZ = 15504 
AcX = -332 | AcY = 380 | AcZ = 15440 
AcX = -296 | AcY = 472 | AcZ = 15400 
AcX = -380 | AcY = 368 | AcZ = 15460 
AcX = -412 | AcY = 388 | AcZ = 15480 
AcX = -264 | AcY = 448 | AcZ = 15472 
AcX = -328 | AcY = 432 | AcZ = 15588 
AcX = -428 | AcY = 364 | AcZ = 15496 
AcX = -392 | AcY = 336 | AcZ = 15580 
AcX = -408 | AcY = 396 | AcZ = 15336 
AcX = -312 | AcY = 444 | AcZ = 15476 
AcX = -352 | AcY = 416 | AcZ = 15396 
AcX = -504 | AcY = 448 | AcZ = 15420 
AcX = -304 | AcY = 396 | AcZ = 15464 
AcX = -428 | AcY = 412 | AcZ = 15440 
AcX = -272 | AcY = 380 | AcZ = 15444 
AcX = -312 | AcY = 436 | AcZ = 15540 
AcX = -288 | AcY = 356 | AcZ = 15436 
AcX = -456 | AcY = 456 | AcZ = 15588 
AcX = -380 | AcY = 472 | AcZ = 15580 
AcX = -400 | AcY = 424 | AcZ = 15424 
AcX = -356 | AcY = 360 | AcZ = 15436 
AcX = -424 | AcY = 356 | AcZ = 15460 
AcX = -256 | AcY = 504 | AcZ = 15408 
AcX = -300 | AcY = 380 | AcZ = 15420 
AcX = -256 | AcY = 392 | AcZ = 15484 
AcX = -396 | AcY = 416 | AcZ = 15376 
AcX = -440 | AcY = 364 | AcZ = 15404 
AcX = -388 | AcY = 400 | AcZ = 15364 
AcX = -344 | AcY = 416 | AcZ = 15448 
AcX = -296 | AcY = 412 | AcZ = 15572 
AcX = -336 | AcY = 428 | AcZ = 15564 
AcX = -336 | AcY = 484 | AcZ = 15388 
AcX = -388 | AcY = 408 | AcZ = 15396 
AcX = -300 | AcY = 472 | AcZ = 15360 
AcX = -348 | AcY = 412 | AcZ = 15388 
AcX = -380 | AcY = 392 | AcZ = 15452 
AcX = -320 | AcY = 392 | AcZ = 15436 
AcX = -408 | AcY = 376 | AcZ = 15404 
AcX = -292 | AcY = 404 | AcZ = 15508 
AcX = -392 | AcY = 496 | AcZ = 15352 
AcX = -324 | AcY = 444 | AcZ = 15524 
AcX = -272 | AcY = 452 | AcZ = 15580 
AcX = -328 | AcY = 384 | AcZ = 15504 
AcX = -316 | AcY = 420 | AcZ = 15532 
AcX = -304 | AcY = 384 | AcZ = 15352 
AcX = -364 | AcY = 384 | AcZ = 15388 
AcX = -324 | AcY = 464 | AcZ = 15548 
AcX = -264 | AcY = 336 | AcZ = 15548 
AcX = -400 | AcY = 368 | AcZ = 15432 
AcX = -332 | AcY = 408 | AcZ = 15640 
AcX = -348 | AcY = 444 | AcZ = 15532 
AcX = -316 | AcY = 352 | AcZ = 15348 
AcX = -256 | AcY = 368 | AcZ = 15396 
AcX = -424 | AcY = 320 | AcZ = 15468 
AcX = -292 | AcY = 440 | AcZ = 15544 
AcX = -352 | AcY = 408 | AcZ = 15528 
AcX = -280 | AcY = 460 | AcZ = 15340 
AcX = -324 | AcY = 428 | AcZ = 15592 
AcX = -372 | AcY = 448 | AcZ = 15448 
AcX = -340 | AcY = 456 | AcZ = 15384 
AcX = -392 | AcY = 488 | AcZ = 15552 
AcX = -380 | AcY = 424 | AcZ = 15448 
AcX = -376 | AcY = 408 | AcZ = 15440 
AcX = -336 | AcY = 432 | AcZ = 15600 
AcX = -432 | AcY = 476 | AcZ = 15420 
AcX = -340 | AcY = 332 | AcZ = 15416 
AcX = -328 | AcY = 360 | AcZ = 15452 
AcX = -292 | AcY = 404 | AcZ = 15512 
AcX = -300 | AcY = 468 | AcZ = 15452 
AcX = -456 | AcY = 360 | AcZ = 15472 
AcX = -344 | AcY = 324 | AcZ = 15456 
AcX = -404 | AcY = 312 | AcZ = 15592 
AcX = -448 | AcY = 328 | AcZ = 15400 
AcX = -408 | AcY = 436 | AcZ = 15448 
AcX = -380 | AcY = 428 | AcZ = 15376 
AcX = -332 | AcY = 452 | AcZ = 15388 
AcX = -396 | AcY = 392 | AcZ = 15360 
AcX = -312 | AcY = 352 | AcZ = 15508 
AcX = -348 | AcY = 360 | AcZ = 15508 
AcX = -408 | AcY = 324 | AcZ = 15404 
AcX = -272 | AcY = 392 | AcZ = 15460 
AcX = -392 | AcY = 484 | AcZ = 15584 
AcX = -264 | AcY = 420 | AcZ = 15480 
AcX = -316 | AcY = 400 | AcZ = 15436 
AcX = -348 | AcY = 488 | AcZ = 15372 
AcX = -400 | AcY = 408 | AcZ = 15460 
AcX = -328 | AcY = 360 | AcZ = 15408 
AcX = -408 | AcY = 388 | AcZ = 15456 
AcX = -288 | AcY = 428 | AcZ = 15376 
AcX = -324 | AcY = 376 | AcZ = 15420 
AcX = -284 | AcY = 360 | AcZ = 15460 
AcX = -488 | AcY = 312 | AcZ = 15340 
AcX = -312 | AcY = 444 | AcZ = 15424 
AcX = -372 | AcY = 260 | AcZ = 15420 
AcX = -268 | AcY = 360 | AcZ = 15444 
AcX = -332 | AcY = 276 | AcZ = 15436 
AcX = -388 | AcY = 492 | AcZ = 15560 
AcX = -336 | AcY = 412 | AcZ = 15484 
AcX = -332 | AcY = 432 | AcZ = 15488 
AcX = -292 | AcY = 356 | AcZ = 15460 
AcX = -432 | AcY = 432 | AcZ = 15468 
AcX = -372 | AcY = 316 | AcZ = 15436 
AcX = -340 | AcY = 376 | AcZ = 15468 
AcX = -332 | AcY = 452 | AcZ = 15388 
