0,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38
3.0304e-07,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38
6.0608e-07,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38
9.0912e-07,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38
1.2122e-06,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38
1.5152e-06,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38
1.8182e-06,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999
2.1213e-06,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999
2.4243e-06,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999
2.7274e-06,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999
3.0304e-06,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999
3.3334e-06,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999
3.6365e-06,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999
3.9395e-06,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999
4.2426e-06,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999
4.5456e-06,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999,-0.37999
4.8486e-06,-0.37998,-0.37998,-0.37999,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998
5.1517e-06,-0.37998,-0.37998,-0.37999,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998
5.4547e-06,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998
5.7578e-06,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998
6.0608e-06,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998
6.3639e-06,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998
6.6669e-06,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998
6.9699e-06,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998
7.273e-06,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998
7.576e-06,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998,-0.37998
