2015,-0.01, 
2018,-0.01, 
2029,7.90, 
2044,8.65, 
2060,7.80, 
2075,7.63, 
2091,7.94, 
2106,8.06, 
2121,7.17, 
2137,4.23, 
2152,3.13, 
2167,5.15, 
2183,5.43, 
2198,5.73, 
2213,4.65, 
2229,4.06, 
2244,5.35, 
2259,4.58, 
2275,2.94, 
2290,1.98, 
2306,3.70, 
2321,3.83, 
2336,2.52, 
2352,2.68, 
2367,3.18, 
2382,2.96, 
2398,2.17, 
2413,3.16, 
2428,3.13, 
2444,2.45, 
2459,2.54, 
2475,2.86, 
2490,1.95, 
2505,2.34, 
2521,2.48, 
2536,3.07, 
2551,3.46, 
2567,2.55, 
2582,2.58, 
2597,1.40, 
2613,2.42, 
2628,2.04, 
2643,2.37, 
2659,1.94, 
2674,1.97, 
2690,1.57, 
2705,2.38, 
2720,2.38, 
2736,2.01, 
2751,1.79, 
2766,3.30, 
2782,2.15, 
2797,1.19, 
2812,1.96, 
2828,2.12, 
2843,1.78, 
2859,1.94, 
2874,1.94, 
2889,1.72, 
2905,1.90, 
2920,1.75, 
2935,2.89, 
2951,3.16, 
2966,1.98, 
2981,2.33, 
2997,2.28, 
3012,2.12, 
3027,2.52, 
3043,2.33, 
3058,1.57, 
3074,1.37, 
3089,2.02, 
3104,3.14, 
3120,2.14, 
3135,1.41, 
3150,1.78, 
3166,2.17, 
3181,1.95, 
3196,1.39, 
3212,2.18, 
3227,2.74, 
3243,2.18, 
3258,1.95, 
3273,2.11, 
3289,1.58, 
3304,1.38, 
3319,1.39, 
3335,2.11, 
3350,1.59, 
3365,2.83, 
3381,2.61, 
3396,2.15, 
3411,2.36, 
3427,2.77, 
3442,2.52, 
3458,1.94, 
3473,2.01, 
3488,2.21, 
3504,2.56, 
3519,1.55, 
3534,1.74, 
3550,2.09, 
3565,2.55, 
3580,2.33, 
3596,1.35, 
3611,2.33, 
3627,2.16, 
3642,1.35, 
3657,1.76, 
3673,2.32, 
3688,1.75, 
3703,1.80, 
3719,2.17, 
3734,1.95, 
3749,1.93, 
3765,2.93, 
3780,1.57, 
3795,2.12, 
3811,1.98, 
3826,2.63, 
3842,2.93, 
3857,1.93, 
3872,1.56, 
3888,3.28, 
3903,3.67, 
3918,2.86, 
3934,1.55, 
3949,1.94, 
3964,2.34, 
3980,1.74, 
3995,2.35, 
4011,2.87, 
4026,1.75, 
4041,2.10, 
4057,2.09, 
4072,3.05, 
4087,2.69, 
4103,2.08, 
4118,2.40, 
4133,1.84, 
4149,2.45, 
4164,2.99, 
4179,2.56, 
4195,2.23, 
4210,2.45, 
4226,3.64, 
4241,3.23, 
4256,2.68, 
4272,4.03, 
4287,3.60, 
4302,3.05, 
4318,2.77, 
4333,4.51, 
4348,4.04, 
4364,3.00, 
4379,4.57, 
4395,3.21, 
4410,3.79, 
4425,2.84, 
4441,3.27, 
4456,3.64, 
4471,4.18, 
4487,3.64, 
4502,4.56, 
4517,4.77, 
4533,3.36, 
4548,4.23, 
4563,5.36, 
4579,3.63, 
4594,3.46, 
4610,4.79, 
4625,4.97, 
4640,3.93, 
4656,3.60, 
4671,4.70, 
4686,4.96, 
4702,4.33, 
4717,4.53, 
4732,6.20, 
4748,4.85, 
4763,4.48, 
4779,3.14, 
4794,5.27, 
4809,3.82, 
4825,3.95, 
4840,5.39, 
4855,5.00, 
4871,4.36, 
4886,4.14, 
4901,5.06, 
4917,4.87, 
4932,4.22, 
4947,4.79, 
4963,4.36, 
4978,4.95, 
4994,5.54, 
5009,5.70, 
5024,4.58, 
5040,4.21, 
5055,4.85, 
5070,4.74, 
5086,3.82, 
5101,4.06, 
5116,5.08, 
5132,5.58, 
5147,5.02, 
5163,5.28, 
5178,5.26, 
5193,5.21, 
5209,5.23, 
5224,5.81, 
5239,5.73, 
5255,6.53, 
5270,6.46, 
5285,6.44, 
5301,7.05, 
5316,8.41, 
5331,8.43, 
5347,8.84, 
5362,10.36, 
5378,8.94, 
5393,8.69, 
5408,9.36, 
5424,9.00, 
5439,9.72, 
5454,11.76, 
5470,10.39, 
5485,10.21, 
5500,11.25, 
5516,11.32, 
