3240,0.18,7.37,0.00,0.00,0.00
3251,0.18,7.37,0.00,0.00,0.00
3261,0.18,7.38,0.00,0.00,0.00
3271,0.18,7.38,0.00,0.00,0.00
3281,0.18,7.38,0.00,0.00,0.00
3292,0.18,7.39,0.00,0.00,0.00
3302,0.18,7.39,0.00,0.00,0.00
3312,0.18,7.38,0.00,0.00,0.00
3322,0.18,7.39,0.00,0.00,0.00
3333,0.18,7.38,0.00,0.00,0.00
3343,0.18,7.37,0.00,0.00,0.00
3353,0.18,7.36,0.00,0.00,0.00
3363,0.18,7.37,0.00,0.00,0.00
3374,0.19,7.38,0.00,0.00,0.00
3384,0.19,7.37,0.00,0.00,0.00
3394,0.19,7.38,0.00,0.00,0.00
3404,0.20,7.37,0.00,0.00,0.00
3415,0.20,7.37,0.00,0.00,0.00
3425,0.20,7.38,0.00,0.00,0.00
3435,0.20,7.39,0.00,0.00,0.00
3445,0.20,7.39,0.00,0.00,0.00
3456,0.20,7.37,0.00,0.00,0.00
3466,0.20,7.39,0.00,0.00,0.00
3476,0.20,7.39,0.00,0.00,0.00
3486,0.20,7.39,0.00,0.00,0.00
3496,0.20,7.37,0.00,0.00,0.00
3507,0.20,7.38,0.00,0.00,0.00
3517,0.20,7.39,0.00,0.00,0.00
3527,0.20,7.38,0.00,0.00,0.00
3537,0.20,7.37,0.00,0.00,0.00
3548,0.20,7.37,0.00,0.00,0.00
3558,0.20,7.37,0.00,0.00,0.00
3568,0.20,7.37,0.00,0.00,0.00
3578,0.20,7.36,0.00,0.00,0.00
3589,0.21,7.37,0.00,0.00,0.00
3599,0.21,7.37,0.00,0.00,0.00
3609,0.21,7.36,0.00,0.00,0.00
3619,0.21,7.37,0.00,0.00,0.00
3630,0.21,7.37,0.00,0.00,0.00
3640,0.21,7.36,0.00,0.00,0.00
3650,0.21,7.38,0.00,0.00,0.00
3660,0.21,7.39,0.00,0.00,0.00
3671,0.21,7.38,0.00,0.00,0.00
3681,0.21,7.38,0.00,0.00,0.00
3691,0.21,7.39,0.00,0.00,0.00
3701,0.21,7.38,0.00,0.00,0.00
3712,0.21,7.38,0.00,0.00,0.00
3722,0.21,7.39,0.00,0.00,0.00
3732,0.21,7.38,0.00,0.00,0.00
3742,0.21,7.37,0.00,0.00,0.00
3752,0.21,7.37,0.00,0.00,0.00
3763,0.21,7.37,0.00,0.00,0.00
3773,0.21,7.37,0.00,0.00,0.00
3783,0.21,7.37,0.00,0.00,0.00
3793,0.21,7.37,0.00,0.00,0.00
3804,0.21,7.37,0.00,0.00,0.00
3814,0.21,7.37,0.00,0.00,0.00
3824,0.21,7.37,0.00,0.00,0.00
3834,0.21,7.36,0.00,0.00,0.00
3845,0.21,7.37,0.00,0.00,0.00
3855,0.21,7.38,0.00,0.00,0.00
3865,0.21,7.38,0.00,0.00,0.00
3875,0.21,7.37,0.00,0.00,0.00
3886,0.21,7.38,0.00,0.00,0.00
3896,0.21,7.38,0.00,0.00,0.00
3906,0.21,7.38,0.00,0.00,0.00
3916,0.21,7.40,0.00,0.00,0.00
3927,0.21,7.37,0.00,0.00,0.00
3937,0.21,7.37,0.00,0.00,0.00
3947,0.21,7.37,0.00,0.00,0.00
3957,0.21,7.36,0.00,0.00,0.00
3968,0.21,7.38,0.00,0.00,0.00
3978,0.21,7.38,0.00,0.00,0.00
3988,0.21,7.37,0.00,0.00,0.00
3998,0.21,7.37,0.00,0.00,0.00
4008,0.21,7.36,0.00,0.00,0.00
4019,0.21,7.37,0.00,0.00,0.00
4029,0.21,7.38,0.00,0.00,0.00
4039,0.21,7.37,0.00,0.00,0.00
4049,0.21,7.37,0.00,0.00,0.00
4060,0.21,7.37,0.00,0.00,0.00
4070,0.21,7.37,0.00,0.00,0.00
