1477,0.04,7.62,0.00
1510,0.04,7.62,0.00
1542,0.04,7.62,0.00
1573,0.04,7.62,0.00
1605,0.04,7.62,0.00
1637,0.04,7.62,0.00
1669,0.04,7.62,0.00
1700,0.04,7.62,0.00
1732,0.04,7.62,0.00
1764,0.04,7.62,0.00
1796,0.04,7.62,0.00
1827,0.04,7.62,0.00
1860,0.04,7.62,0.00
1892,0.04,7.62,0.00
1924,0.04,7.62,0.00
1955,0.04,7.62,0.00
1987,0.04,7.62,0.00
2019,0.04,7.62,0.00
2051,0.04,7.53,0.00
2082,0.04,7.55,0.00
2114,0.04,7.53,0.00
2146,0.04,7.54,0.00
2178,0.04,7.56,0.00
2209,0.04,7.54,0.00
2242,0.04,7.53,0.00
2274,0.04,7.53,0.00
2306,0.04,7.51,0.00
2337,0.04,7.54,0.00
2369,0.04,7.53,0.00
2401,0.04,7.54,0.00
2433,0.07,7.54,0.00
2464,0.07,7.53,0.00
2496,0.07,7.51,0.00
2528,0.07,7.54,0.00
2560,0.07,7.55,0.00
2592,0.07,7.55,0.00
2624,0.07,7.54,0.00
2656,0.07,7.53,0.00
2688,0.06,7.55,0.00
2719,0.06,7.54,0.00
2751,0.06,7.55,0.00
2783,0.06,7.54,0.00
2814,0.06,7.55,0.00
2846,0.06,7.53,0.00
2878,0.06,7.53,0.00
2910,0.06,7.55,0.00
2942,0.06,7.56,0.00
2974,0.06,7.55,0.00
3006,0.06,7.53,0.00
3038,0.05,7.55,0.00
3069,0.05,7.55,0.00
3101,0.05,7.56,0.00
3133,0.05,7.53,0.00
3165,0.14,7.54,0.00
3196,0.22,7.54,0.00
3228,0.22,7.55,0.00
3261,0.22,7.53,0.00
3293,0.22,7.56,0.00
3324,0.22,7.56,0.00
3356,0.24,7.56,0.00
3388,0.24,7.53,0.00
3420,0.24,7.54,0.00
3451,0.24,7.54,0.00
3483,0.24,7.54,0.00
3515,0.25,7.54,0.00
3547,0.25,7.55,0.00
3579,0.25,7.54,0.00
3611,0.25,7.55,0.00
3643,0.25,7.53,0.00
3675,0.25,7.53,0.00
3706,0.25,7.53,0.00
3738,0.25,7.54,0.00
3770,0.25,7.53,0.00
3802,0.25,7.54,0.00
3833,0.25,7.54,0.00
3865,0.25,7.54,0.00
3898,0.25,7.54,0.00
3930,0.25,7.54,0.00
3961,0.25,7.53,0.00
3993,0.25,7.55,0.00
4025,0.25,7.53,0.00
4057,0.25,7.54,0.00
4088,0.25,7.55,0.00
4120,0.25,7.54,0.00
4152,0.25,7.56,0.00
4185,0.25,7.55,0.00
4216,0.25,7.55,0.00
4248,0.25,7.55,0.00
4280,0.25,7.53,0.00
4312,0.26,7.55,0.00
4343,0.26,7.55,0.00
4375,0.26,7.55,0.00
4407,0.26,7.55,0.00
4439,0.26,7.55,0.00
4471,0.27,7.55,0.00
4503,0.27,7.54,0.00
4535,0.27,7.53,0.00
4567,0.27,7.53,0.00
4598,0.27,7.53,0.00
4630,0.27,7.54,0.00
4662,0.27,7.55,0.00
4694,0.27,7.53,0.00
4725,0.27,7.55,0.00
4758,0.27,7.54,0.00
4790,0.27,7.55,0.00
4822,0.27,7.53,0.00
4853,0.27,7.52,0.00
4885,0.27,7.52,0.00
4917,0.27,7.54,0.00
4948,0.27,7.55,0.00
4980,0.26,7.55,0.00
5012,0.26,7.53,3.44
5045,0.26,7.13,3.74
5076,0.27,7.01,4.02
5108,0.27,6.92,4.32
5140,0.30,6.81,4.56
5173,0.38,6.70,4.73
5204,0.55,6.75,4.71
5236,0.83,6.86,4.47
5269,1.06,6.95,4.26
5301,1.22,7.08,4.15
5332,1.31,7.20,4.12
5365,1.35,7.25,4.17
5397,1.37,7.21,4.25
5429,1.38,7.24,4.34
5462,1.40,7.21,4.41
5493,1.42,7.19,4.48
5525,1.46,7.20,4.52
5558,1.50,7.19,4.54
5590,1.53,7.19,4.57
5621,1.56,7.18,4.60
5654,1.58,7.17,4.64
5686,1.60,7.20,4.68
5718,1.63,7.16,4.69
5750,1.66,7.14,4.71
5782,1.67,7.17,4.74
5814,1.69,7.20,4.76
5847,1.71,7.15,4.79
5878,1.72,7.18,4.81
5910,1.74,7.21,4.82
5943,1.77,7.20,4.83
5975,1.77,7.18,4.86
6006,1.79,7.17,4.86
6039,1.81,7.23,4.87
6071,1.82,7.21,4.87
6103,1.84,7.24,4.87
6135,1.85,7.25,4.88
6167,1.86,7.21,4.89
6199,1.86,7.26,4.93
6232,1.86,7.22,4.94
6263,1.86,7.24,4.97
6295,1.89,7.24,4.94
6328,1.89,7.24,4.95
6360,1.90,7.24,4.96
6391,1.90,7.25,4.97
